label,n_trades,win_rate,avg_return,net_pnl_usd,sharpe,max_dd,profit_factor
Fold 1: train 2021-2021 -> test 2022,6,0.3333333333333333,-0.08519259629419333,-5116.348552324446,-2.6633754894673825,-0.05158162419249915,0.26660216051170704
Fold 2: train 2021-2022 -> test 2023,16,0.6875,0.050768596785449024,8132.930439886145,-1.9908249418576733,-0.03737524014701022,4.594985533622813
Fold 3: train 2021-2023 -> test 2024,16,0.25,-0.02407795280709464,-3802.1145856209087,-6.849887710209275,-0.014750703497691668,0.3121080732812924
Fold 4: train 2021-2024 -> test 2025,6,0.3333333333333333,-0.030205807689770645,-1785.8561221574892,-6.820647967406433,-0.015717653416721517,0.27887145843075695
Pooled OOS,44,0.4318181818181818,-0.006030457278411677,-2571.3888202167013,-3.208270982648363,-0.05158162419249915,0.8508665076106995
