,Fold 1 (2021-2021),Fold 2 (2021-2022),Fold 3 (2021-2023),Fold 4 (2021-2024)
#1,LEU,XOM,MARA,RIOT
#2,ABBV,ABBV,RIOT,NKE
#3,NFLX,NFLX,C,RTX
#4,UNH,C,NKE,C
#5,C,LEU,BAC,WMT
