trade_id,symbol,fold_id,train_years,test_year,entry_date,exit_date,direction,qty,entry_price,exit_price,gross_pnl,commission,reg_fees,slippage,borrow_cost,total_cost,net_pnl,trade_return,hold_days,exit_type,good_trade,lr_prob,lr_approve
LEU-1-1,LEU,1,[2021],2022,2022-02-24,2022-02-28,short,280,35.68215,42.78942516040835,-1990.037044914338,1.96,0.32422985560000006,10.986020522457169,2.3788099999999996,15.649060378057168,-2005.686105292395,-0.20074924469962022,2,stop_loss,0,6.567646084947551e-08,0
LMT-1-1,LMT,1,[2021],2022,2022-02-28,2022-03-01,long,24,414.016905,448.3402353724114,823.7599289378741,0.7,0.30311660504047294,10.348285684468937,0.0,11.35140228950941,812.4085266483646,0.08176080461500766,1,profit_target,1,4.328434301859774e-06,0
JPM-1-1,JPM,1,[2021],2022,2022-03-01,2022-03-29,short,71,139.96998,141.18,-85.91142000000102,0.7,0.28805874652400004,9.980824290000001,23.661591857142856,34.63047489366686,-120.54189489366787,-0.012129552119079026,20,timeout,0,1.3928338055489745e-06,0
CVX-1-1,CVX,1,[2021],2022,2022-03-01,2022-03-07,long,68,145.082505,160.6542438968219,1058.878244983889,0.7,0.31498878266255215,10.395049462491944,0.0,11.410038245154496,1047.4682067387346,0.10617368521963484,4,profit_target,1,2.2070857082679045e-06,0
LEU-1-2,LEU,1,[2021],2022,2022-05-10,2022-06-07,short,454,21.998995,28.859808821699744,-3114.8094750516834,3.178,0.35301771569400003,11.544948467525844,22.59087272261905,37.666838905838894,-3152.4763139575225,-0.3156408021011511,19,stop_loss,0,5.859666206371542e-16,0
META-1-1,META,1,[2021],2022,2022-10-28,2022-11-14,short,100,99.520215,116.24728421302466,-1672.7069213024663,0.7000000000000001,0.2932661977,10.788374960651232,13.032409107142856,24.81405026549409,-1697.5209715679605,-0.17057046867995218,11,stop_loss,0,2.905901913903291e-64,0
RIOT-2-1,RIOT,2,"[2021, 2022]",2023,2023-03-20,2023-04-11,long,1156,8.654325,11.374857203742575,3144.935227526417,8.092,0.5574475109852344,11.57686731376321,0.0,20.226314824748442,3124.7089127016684,0.31233347391164995,15,profit_target,1,,0
CVX-2-1,CVX,2,"[2021, 2022]",2023,2023-03-20,2023-03-29,short,65,151.66413,161.07689572024117,-611.8297718156759,0.7,0.28484708291,10.164083335907838,8.215140375,19.364070793817838,-631.1938426094938,-0.06402749616329531,7,stop_loss,0,0.04747592412751934,0
MARA-2-1,MARA,2,"[2021, 2022]",2023,2023-04-12,2023-05-10,long,994,10.06503,10.22,154.0401800000005,6.958,0.447415304,10.08165991,0.0,17.487075214,136.55310478600052,0.013648977598675862,20,timeout,1,,0
NVDA-2-1,NVDA,2,"[2021, 2022]",2023,2023-05-02,2023-05-25,long,348,28.69434,32.175623983251,1211.486826171348,2.436,0.3690478566635635,10.591373733085675,0.0,13.396421589749238,1198.0904045815987,0.11998144996234937,17,profit_target,1,0.1591644104518091,0
GOOGL-2-1,GOOGL,2,"[2021, 2022]",2023,2023-05-12,2023-06-12,long,85,116.73834000000001,123.64,586.6410999999994,0.7,0.30627132,10.21607945,0.0,11.22235077,575.4187492299993,0.05798979447439757,20,timeout,1,0.13527760291695942,0
MARA-2-2,MARA,2,"[2021, 2022]",2023,2023-06-22,2023-07-06,long,816,12.256125,15.964552045536072,3026.076469157434,5.712,0.4976086702425767,11.514036234578718,0.0,17.723644904821295,3008.3528242526127,0.3008052620601076,9,profit_target,1,,0
ABBV-2-1,ABBV,2,"[2021, 2022]",2023,2023-06-28,2023-07-05,short,75,132.53369999999998,137.80556666909513,-395.39000018213596,0.7,0.2887827645,10.137722500091067,4.733346428571428,15.859851693162495,-411.2498518752985,-0.04137311007190861,4,stop_loss,0,0.06666570338304803,0
MSFT-2-1,MSFT,2,"[2021, 2022]",2023,2023-07-19,2023-07-20,long,27,361.930875,345.9272029323792,-432.0991458257619,0.7,0.26413495852104385,9.556084052087119,0.0,10.520219010608162,-442.6193648363701,-0.04529403524569283,1,stop_loss,0,0.13511782962731828,0
ABT-2-1,ABT,2,"[2021, 2022]",2023,2023-07-24,2023-08-02,long,87,113.89692000000001,110.24167662012105,-318.006174049469,0.7,0.28107251907342484,9.750028952975267,0.0,10.731101472048692,-328.7372755215177,-0.033175518475921456,7,stop_loss,0,0.1232562923397625,0
CSCO-2-1,CSCO,2,"[2021, 2022]",2023,2023-08-21,2023-09-19,long,181,55.2276,55.84,110.84440000000018,1.2670000000000001,0.31102171200000006,10.051617800000002,0.0,11.629639512000002,99.21476048800018,0.009925252011675339,20,timeout,1,0.03180332744820485,0
RTX-2-1,RTX,2,"[2021, 2022]",2023,2023-09-07,2023-09-11,short,119,83.768095,78.30025526983103,650.6729278901081,0.833,0.296875611879,9.643066841054946,2.3734293583333335,13.14637181126728,637.5265560788408,0.06395473142213931,2,profit_target,1,0.04052315149675976,0
RTX-2-2,RTX,2,"[2021, 2022]",2023,2023-09-12,2023-10-10,short,133,74.66265,73.35,174.58245000000068,0.931,0.29813568210999997,9.842841224999999,23.643172499999995,34.71514940710999,139.86730059289067,0.01408513947796242,20,timeout,1,0.02151916874999238,0
IBM-2-1,IBM,2,"[2021, 2022]",2023,2023-09-27,2023-10-25,short,69,143.598165,137.08,449.75338499999873,0.7,0.28690400010300005,9.6833966925,23.591127107142857,34.26142779974586,415.49195720025284,0.04193384064566289,20,timeout,1,0.02380461590724044,0
TMO-2-1,TMO,2,"[2021, 2022]",2023,2023-10-19,2023-10-25,short,21,472.06385,427.7349812855113,930.9062430042625,0.7,0.27907687563,9.447887728497868,4.7206385,15.147603104127867,915.7586399001347,0.09237638993318127,4,profit_target,1,0.031918763281330226,0
ABBV-2-2,ABBV,2,"[2021, 2022]",2023,2023-10-30,2023-11-28,short,71,140.599665,138.08,178.89621499999822,0.7,0.289301618777,9.8931281075,23.768038607142856,34.65046833341986,144.24574666657836,0.01444975160318156,20,timeout,1,0.019168105562649387,0
XOM-2-1,XOM,2,"[2021, 2022]",2023,2023-12-08,2023-12-20,short,100,98.97049,103.25018649010666,-427.9696490106659,0.7000000000000001,0.2917379622,10.111033824505332,9.425760952380951,20.528532739086284,-448.4981817497522,-0.045316354576980696,8,stop_loss,0,0.07564839290202603,0
AMD-3-1,AMD,3,"[2021, 2022, 2023]",2024,2024-03-04,2024-03-14,long,48,205.26257999999999,188.61824114405184,-798.9282650855112,0.7,0.2596601809826228,9.453139707457245,0.0,10.412799888439867,-809.341064973951,-0.08214489064181749,8,stop_loss,0,0.9028157505931398,1
IBM-3-1,IBM,3,"[2021, 2022, 2023]",2024,2024-03-05,2024-04-03,long,52,192.096,190.9,-62.191999999999894,0.7,0.28459704,9.957896000000002,0.0,10.942493040000002,-73.1344930399999,-0.007321508820910047,20,timeout,0,0.7008851232580892,1
MS-3-1,MS,3,"[2021, 2022, 2023]",2024,2024-03-05,2024-03-06,long,112,89.234595,85.63800161621315,-402.8184589841276,0.784,0.28523448183224126,9.792865410507936,0.0,10.862099892340177,-413.6805588764677,-0.04139175415700481,1,stop_loss,0,0.7851350028460247,1
MSFT-3-1,MSFT,3,"[2021, 2022, 2023]",2024,2024-03-15,2024-04-15,long,23,419.49964500000004,413.64,-134.77183500000132,0.7,0.26829941599999996,9.5811059175,0.0,10.549405333500001,-145.32124033350132,-0.0150615498068151,20,timeout,0,0.8035189824611707,1
PG-3-1,PG,3,"[2021, 2022, 2023]",2024,2024-04-04,2024-04-22,short,63,156.80156,160.54300516597573,-235.7110454564712,0.7,0.285080252184,9.996353802728237,14.112140399999998,25.093574454912236,-260.80461991138344,-0.026401241617808272,12,stop_loss,0,0.38746717555465504,0
ABBV-3-1,ABBV,3,"[2021, 2022, 2023]",2024,2024-04-05,2024-05-03,short,59,167.916,163.79,243.43400000000028,0.7,0.28520982320000005,9.785326999999999,23.588199999999997,34.3587368232,209.0752631768003,0.021103697851427763,20,timeout,1,0.6207733462427217,1
META-3-1,META,3,"[2021, 2022, 2023]",2024,2024-04-08,2024-04-15,long,18,529.5746549999999,501.62216033372255,-503.1449039929922,0.7,0.25399972903099477,9.280771338003502,0.0,10.234771067034497,-513.3796750600267,-0.053856605087889586,5,stop_loss,0,0.8807990662877387,1
AVGO-3-1,AVGO,3,"[2021, 2022, 2023]",2024,2024-04-22,2024-04-26,short,81,122.38877500000001,132.07542789604696,-784.6188845798031,0.7,0.28904104354500004,10.305800217289903,4.720709892857143,16.015551153692048,-800.6344357334951,-0.08076211033075735,4,stop_loss,0,0.7372062439023014,1
NFLX-3-1,NFLX,3,"[2021, 2022, 2023]",2024,2024-04-22,2024-05-06,short,181,55.042465,58.685902866880014,-659.4622539052824,1.2670000000000001,0.307008675387,10.292417291952642,11.860340672619046,23.72676663995869,-683.1890205452411,-0.06857478086034251,10,stop_loss,0,0.7219190399014861,1
WFC-3-1,WFC,3,"[2021, 2022, 2023]",2024,2024-04-23,2024-05-21,long,163,61.200585000000004,61.46,42.28464499999952,1.141,0.30555784399999997,9.9968376775,0.0,11.443395521500001,30.84124947849952,0.003091639066848741,20,timeout,1,0.872563152411861,1
LEU-3-1,LEU,3,"[2021, 2022, 2023]",2024,2024-07-15,2024-07-18,long,202,49.434704999999994,44.58146164573374,-980.3551575617835,1.414,0.2838836560177824,9.495632831219108,0.0,11.193516487236892,-991.5486740490204,-0.09929576402292427,3,stop_loss,0,0.8606951047337456,1
PEP-3-1,PEP,3,"[2021, 2022, 2023]",2024,2024-07-18,2024-08-05,long,59,168.794355,180.5357211320902,692.7406017933222,0.7,0.3059086898008544,10.305237245896661,0.0,11.311145935697516,681.4294558576247,0.06842439603028803,12,profit_target,1,0.666542858310035,1
MRK-3-1,MRK,3,"[2021, 2022, 2023]",2024,2024-07-31,2024-08-28,short,86,115.942,117.4,-125.38800000000109,0.7,0.2914701336,10.033705999999999,23.740504761904756,34.76568089550476,-160.15368089550583,-0.01606192840761859,20,timeout,0,0.35174579206459095,0
PEP-3-2,PEP,3,"[2021, 2022, 2023]",2024,2024-09-06,2024-09-20,long,56,177.52872,171.91104891259286,-314.5895808947994,0.7,0.2769271209471246,9.7843135295526,0.0,10.761240650499724,-325.3508215452991,-0.03272617579298267,10,stop_loss,0,0.6772814776856139,1
NOC-3-1,NOC,3,"[2021, 2022, 2023]",2024,2024-10-03,2024-10-22,long,18,540.119925,521.2230700098761,-340.14338982222966,0.7,0.26380802423294203,9.552086955088885,0.0,10.515894979321827,-350.6592848015515,-0.03606804799482999,13,stop_loss,0,0.44575034492123033,0
JPM-3-1,JPM,3,"[2021, 2022, 2023]",2024,2024-10-14,2024-11-06,long,44,223.3116,241.83372108416117,814.9733277030915,0.7,0.3031150076301459,10.233197063851545,0.0,11.236312071481692,803.7370156316098,0.08179937967962192,17,profit_target,1,0.5300828189159392,1
COST-4-1,COST,4,"[2021, 2022, 2023, 2024]",2025,2025-05-21,2025-06-16,long,9,1031.45547,986.715062314956,-402.6636691653973,0.7,0.24837010859120198,9.081767395417302,0.0,10.030137504008504,-412.69380666940583,-0.04445646830270991,17,stop_loss,0,0.26235385658089716,0
RIOT-4-1,RIOT,4,"[2021, 2022, 2023, 2024]",2025,2025-06-10,2025-06-23,long,977,10.235115,8.953292869916389,-1252.3402210916884,6.839,0.4053588063226511,9.373537244454155,0.0,16.617896050776807,-1268.9581171424652,-0.12689952536540658,8,stop_loss,0,0.7233097087005016,1
JPM-4-1,JPM,4,"[2021, 2022, 2023, 2024]",2025,2025-06-23,2025-07-03,long,36,275.19753000000003,294.2491280630789,685.8575302708393,0.7,0.30046052736552936,10.25003984513542,0.0,11.25050037250095,674.6070298983384,0.06809321349593048,8,profit_target,1,0.5633823103673556,1
CSCO-4-1,CSCO,4,"[2021, 2022, 2023, 2024]",2025,2025-08-11,2025-08-14,long,138,72.27611999999999,69.9315181199866,-323.5550594418472,0.966,0.29119327611551665,9.812327030279077,0.0,11.069520306394594,-334.6245797482418,-0.033549335455156065,3,stop_loss,0,0.587617320140168,1
JNJ-4-1,JNJ,4,"[2021, 2022, 2023, 2024]",2025,2025-10-01,2025-10-29,long,53,186.093,186.6,26.871000000000265,0.7,0.28373444000000003,9.876364500000001,0.0,10.86009894,16.010901060000265,0.0016233414090277103,20,timeout,1,0.43586895588457936,0
MS-4-1,MS,4,"[2021, 2022, 2023, 2024]",2025,2025-11-13,2025-11-14,long,59,169.394655,161.77681006758732,-449.4528510123481,0.7,0.27514032387285675,9.769558219493828,0.0,10.744698543366685,-460.1975495557148,-0.04604607192030949,1,stop_loss,0,0.49486000113750855,0
