slippage_bps,n_trades,net_pnl_usd,avg_return_per_trade,sharpe,cost_pct_of_gross
5,3,-1904.353491924271,-0.064650096354606,-5.153016316616081,0.019448196788670196
10,3,-1938.8579608588743,-0.065815618431019,-5.152641877281279,0.03515390510233041
15,3,-1973.3674731834785,-0.06698087149002378,-5.152076666073622,0.05077882972475865
