date,position,cash,mark,mkt_value,unrealized_pnl,signal,kc_upper,kc_lower,bb_upper,bb_lower,squeeze_on,atr,adx,daily_return,symbol,fold_id,test_year
2022-01-03,0,100000.0,52.71,100000.0,0.0,0,,,,,False,,,,LEU,1,2022
2022-01-04,0,100000.0,52.6,100000.0,0.0,0,,,,,False,,,0.0,LEU,1,2022
2022-01-05,0,100000.0,51.24,100000.0,0.0,0,,,,,False,,,0.0,LEU,1,2022
2022-01-06,0,100000.0,48.77,100000.0,0.0,0,,,,,False,,,0.0,LEU,1,2022
2022-01-07,0,100000.0,51.83,100000.0,0.0,0,,,,,False,,,0.0,LEU,1,2022
2022-01-10,0,100000.0,48.71,100000.0,0.0,0,,,,,False,,,0.0,LEU,1,2022
2022-01-11,0,100000.0,49.61,100000.0,0.0,0,,,,,False,,,0.0,LEU,1,2022
2022-01-12,0,100000.0,48.99,100000.0,0.0,0,,,,,False,,,0.0,LEU,1,2022
2022-01-13,0,100000.0,46.01,100000.0,0.0,0,,,,,False,,,0.0,LEU,1,2022
2022-01-14,0,100000.0,46.1,100000.0,0.0,0,,,,,False,,,0.0,LEU,1,2022
2022-01-18,0,100000.0,44.67,100000.0,0.0,0,,,,,False,,,0.0,LEU,1,2022
2022-01-19,0,100000.0,43.4,100000.0,0.0,0,,,,,False,,,0.0,LEU,1,2022
2022-01-20,0,100000.0,42.82,100000.0,0.0,0,,,,,False,,,0.0,LEU,1,2022
2022-01-21,0,100000.0,40.12,100000.0,0.0,0,,,,,False,4.8450618022063825,,0.0,LEU,1,2022
2022-01-24,0,100000.0,41.74,100000.0,0.0,0,,,,,False,4.879700244905926,,0.0,LEU,1,2022
2022-01-25,0,100000.0,42.12,100000.0,0.0,0,,,,,False,4.763293084555503,,0.0,LEU,1,2022
2022-01-26,0,100000.0,41.59,100000.0,0.0,0,,,,,False,4.800915007087252,,0.0,LEU,1,2022
2022-01-27,0,100000.0,37.74,100000.0,0.0,0,,,,,False,4.818706792295306,,0.0,LEU,1,2022
2022-01-28,0,100000.0,39.65,100000.0,0.0,0,,,,,False,4.726656307131356,,0.0,LEU,1,2022
2022-01-31,0,100000.0,43.45,100000.0,0.0,0,51.8037470332356,37.719490177655395,54.70537499913309,36.68162500086691,False,4.6947522851934025,,0.0,LEU,1,2022
2022-02-01,0,100000.0,43.26,100000.0,0.0,0,51.49094084977959,37.74627376959798,53.68616367236925,36.755836327630746,False,4.581555693393874,,0.0,LEU,1,2022
2022-02-02,0,100000.0,43.05,100000.0,0.0,0,51.10459728170751,37.83383499296744,52.54091566161507,36.94608433838493,False,4.423587429580026,,0.0,LEU,1,2022
2022-02-03,0,100000.0,39.58,100000.0,0.0,0,50.58928756783942,37.417865442580776,51.665936629537285,36.65506337046271,False,4.3904740417528805,,0.0,LEU,1,2022
2022-02-04,0,100000.0,42.15,100000.0,0.0,0,50.2959199676316,37.358170851320004,51.07189318181497,36.58710681818502,False,4.312583038770532,,0.0,LEU,1,2022
2022-02-07,0,100000.0,42.78,100000.0,0.0,0,49.976281745908494,37.47837185219058,49.62615386272414,37.12784613727587,False,4.165969964572637,,0.0,LEU,1,2022
2022-02-08,0,100000.0,42.97,100000.0,0.0,0,49.69887288789004,37.61152798658055,48.84042607117072,37.339573928829275,False,4.029114967103164,,0.0,LEU,1,2022
2022-02-09,0,100000.0,46.77,100000.0,0.0,0,49.98490100453515,37.91879502474777,48.16270459374258,37.73329540625742,False,4.022035326595795,29.70092456467989,0.0,LEU,1,2022
2022-02-10,0,100000.0,44.86,100000.0,0.0,0,50.16224502767213,37.91443233215527,47.263951879235414,38.219048120764576,True,4.082604231838952,28.627717503413507,0.0,LEU,1,2022
2022-02-11,0,100000.0,44.28,100000.0,0.0,0,50.10569565236427,38.017012435098614,46.98621461024503,38.323785389754974,True,4.029561072421885,27.372489105131233,0.0,LEU,1,2022
2022-02-14,0,100000.0,42.67,100000.0,0.0,0,49.884304199963694,37.97338406964559,46.516887038209944,38.450112961790055,True,3.9703067101060356,25.76991833463992,0.0,LEU,1,2022
2022-02-15,0,100000.0,44.75,100000.0,0.0,0,49.7931909443757,38.22090796622317,46.52970175152106,38.445298248478935,True,3.857427659384176,24.28181690489799,0.0,LEU,1,2022
2022-02-16,0,100000.0,44.46,100000.0,0.0,0,49.674818985127445,38.4255562197001,46.65629627775719,38.42470372224281,False,3.7497542551424496,23.264919999569738,0.0,LEU,1,2022
2022-02-17,0,100000.0,42.1,100000.0,0.0,0,49.37982744803706,38.3490834515688,46.62248239432855,38.386517605671436,True,3.6769146654894174,21.6370589984047,0.0,LEU,1,2022
2022-02-18,0,100000.0,40.04,100000.0,0.0,0,48.96663845294387,38.03380474193763,46.62788403834681,38.3731159616532,True,3.644277903668745,20.92856952783594,0.0,LEU,1,2022
2022-02-22,0,100000.0,37.6,100000.0,0.0,0,48.40532566827072,37.47126579376493,46.935828187450774,37.65117181254923,True,3.644686624835263,21.137153146730387,0.0,LEU,1,2022
2022-02-23,0,100000.0,37.27,100000.0,0.0,-1,47.72891441265572,37.0680016720432,47.18491429612922,36.91708570387078,False,3.5536375802041733,21.330837935703805,0.0,LEU,1,2022
2022-02-24,-280,109991.00200000001,40.82,98561.402,-1438.5979999999981,0,47.91248104883866,36.583776361127036,47.17115437880849,36.85384562119152,True,3.776234895903875,22.269682943567805,-0.01438598000000002,LEU,1,2022
2022-02-25,-280,109991.00200000001,40.77,98575.402,-1424.5979999999981,0,47.630681719041064,36.584027366165984,46.97833442959668,37.349665570403324,True,3.6822181176250273,23.101677383254618,0.00014204343400070485,LEU,1,2022
2022-02-28,0,97994.31389470761,45.27,97994.31389470761,0.0,0,48.06343410714281,36.753683636615946,47.295503066693186,37.59449693330683,True,3.7699168235089537,21.921444600345417,-0.005894859097733018,LEU,1,2022
2022-03-01,0,97994.31389470761,43.04,97994.31389470761,0.0,0,48.34536598349263,36.592026260860536,47.26128601966223,37.587713980337774,True,3.9177799075440287,20.435943581868614,0.0,LEU,1,2022
