param,value,sharpe
LOOKBACK,5.0,-0.6525671687009137
LOOKBACK,10.0,-0.07066391638387808
LOOKBACK,15.0,-1.4224103402151869
LOOKBACK,20.0,-5.702153438827457
LOOKBACK,25.0,-5.702153438827457
STOP_ATR,1.0,-1.0484091134472686
STOP_ATR,1.5,-1.4224103402151869
STOP_ATR,2.0,-1.6460448572008795
STOP_ATR,2.5,-1.0256528192532957
PROFIT_ATR,5.0,-1.4224103402151869
PROFIT_ATR,6.0,-1.4224103402151869
PROFIT_ATR,7.0,-1.4224103402151869
PROFIT_ATR,8.0,-1.4224103402151869
