,point,ci_2.5%,median,ci_97.5%
net_pnl,-2571.3888,-12822.5996,-1249.1151,10518.9295
win_rate,0.4318,0.2955,0.4318,0.5909
sharpe_trade,-0.2649,-1.504,-0.1417,1.0891
avg_return,-0.006,-0.0294,-0.0031,0.0238
